Cap waktu,Nama atau inisial,Saya merasa informasi mengenai status dan proses pada aplikasi KAI Access sangat jelas,Saya merasa saya mendapatkan umpan balik yang memadai mengenai tindakan yang dilakukan di dalam aplikasi,Saya merasa istilah dan bahasa yang digunakan dalam aplikasi KAI Access sesuai dengan yang diharapkan,Saya merasa tindakan dan proses di aplikasi KAI Access konsisten dengan apa yang saya harapkan di dunia nyata tentang perjalanan menggunakan kereta api,Saya merasa memiliki kendali penuh ketika menggunakan aplikasi KAI Access,Saya bisa dengan mudah mengembalikan tindakan jika terjadi kesalahan dalam menggunakan aplikasi KAI Access,Elemen desain dan interaksi di seluruh aplikasi KAI Access sudah cukup konsisten,Aplikasi KAI Access mengikuti standar dan konvensi desain yang sudah umum diterima,Terdapat fitur dalam aplikasi KAI Access yang membantu mencegah kesalahan,Saya sering melakukan tindakan yang tidak diinginkan ketika menggunakan aplikasi KAI Access,Fungsi dan pilihan dalam aplikasi KAI Access mudah dikenali,Saya perlu mengingat banyak informasi saat menggunakan aplikasi KAI Access,Saya perlu pintasan atau fitur lanjutan dalam aplikasi KAI Access yang memungkinkan saya menggunakan aplikasi dengan lebih efisien,Aplikasi KAI Access dapat disesuaikan agar lebih sesuai dengan kebutuhan dan preferensi saya,Menurut saya desain visual aplikasi KAI Access sudah cukup menarik dan rapi,Desain visual aplikasi KAI Access membantu saya fokus pada apa yang ingin saya lakukan,Pesan error di aplikasi KAI Access jelas dan mudah dimengerti,Pesan error memberikan panduan yang bermanfaat tentang cara mengatasi masalah tersebut,Bantuan dan dokumentasi di dalam aplikasi KAI Access mudah ditemukan dan digunakan,Dokumentasi memberikan instruksi yang jelas dan ringkas
2023/11/30 12:25:26 PM GMT+7,depi,3,4,5,4,3,1,3,3,4,4,5,5,4,5,3,4,5,5,4,5
2023/11/30 12:29:51 PM GMT+7,Riska,6,5,6,5,4,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6
2023/11/30 12:30:20 PM GMT+7,Retno,6,5,5,5,3,4,4,3,3,5,5,5,4,5,4,4,4,5,3,3
2023/11/30 12:32:11 PM GMT+7,ndt,6,5,5,5,4,5,5,5,5,1,5,5,5,5,5,5,5,6,5,4
2023/11/30 12:32:33 PM GMT+7,Nana,6,6,6,6,5,6,6,6,6,5,5,5,5,5,5,5,5,4,5,4
2023/11/30 12:40:27 PM GMT+7,Er,5,6,6,6,5,6,5,6,5,5,5,2,5,5,6,5,5,5,5,5
2023/11/30 1:04:10 PM GMT+7,gp,4,3,3,2,4,5,3,2,5,4,3,3,2,5,4,4,3,2,4,5
2023/11/30 1:10:13 PM GMT+7,FN,6,6,5,2,5,6,6,6,5,2,5,1,3,5,6,5,3,4,5,3
2023/11/30 1:26:26 PM GMT+7,DZ,3,3,6,3,5,4,4,6,3,4,5,3,5,5,6,5,5,5,5,5
2023/11/30 1:38:42 PM GMT+7,Arya,3,3,4,2,2,2,2,2,2,3,2,5,4,2,4,3,3,4,4,4
2023/11/30 1:40:38 PM GMT+7,b,6,5,6,6,5,4,6,6,6,5,6,2,5,4,6,6,5,5,6,5
2023/12/01 7:26:55 AM GMT+7,Wahyu Riyan,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5
2023/12/02 12:13:09 AM GMT+7,Rau,6,4,6,6,6,3,6,6,3,4,6,4,6,5,6,6,6,5,5,5
2023/12/02 8:15:06 AM GMT+7,MFR,5,3,5,6,4,4,5,4,4,2,4,2,3,3,2,3,4,4,3,4
2023/12/02 9:13:07 AM GMT+7,MA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2023/12/02 9:13:21 AM GMT+7,c,5,4,5,5,5,5,5,5,3,3,4,4,4,4,5,5,5,5,5,5
2023/12/02 9:13:29 AM GMT+7,S,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2023/12/02 9:14:12 AM GMT+7,G,6,6,6,5,5,5,4,5,6,5,5,5,4,5,5,6,6,4,6,6
2023/12/02 9:14:21 AM GMT+7,SS,5,5,4,4,4,5,4,5,4,4,5,4,5,5,4,5,5,5,4,5
2023/12/02 9:34:25 AM GMT+7,Luthfi Nabila,5,5,5,5,5,5,6,5,5,2,5,2,4,5,5,3,5,5,5,5
